county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,note,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,geo_method,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Duval,151180,41741,Fourth,✓,✖,✖,?,?,✓,✓,✖,http://www2.duvalclerk.com/about/office-status/#contentTop,Evictions Suspended,?,http://www2.duvalclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,duval,?,?,"Rent drop box. Judge can authorize execution of writ with good cause + extraordinary circumstances
",NA,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,recV5vnqEeaFlrydD,Fourth,✓,✓,✓,(✓),✓,✓,✓,http://www2.duvalclerk.com/about/office-status/#contentTop,NA,NA,2020-05-21T02:35:16.000Z,"Duval County, Florida",30.3540073,-81.6632109,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,3,0,-0.5,3,3,-3,-3,3,0
Indian River,17586,5302,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,"Evictions Active, but Tenant Removal Paused",?,http://www.clerk.indian-river.org/en/,http://www.circuit19.org/covid19,indian-river,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec5OAbV2M0BjHlb7,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Indian River County, Florida",27.7041555,-80.5894422,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Marion,35052,9086,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Evictions Suspended,?,https://www.marioncountyclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,marion,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-05-22T19:10:06.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recvzvrVfLx9W9b0g,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Marion County, Florida",29.2182454,-82.0626948,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gulf,1454,327,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://gulfclerk.com/,https://www.jud14.flcourts.org/,gulf,?,✖,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recGArJ489D8WZH0y,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Gulf County, Florida",29.9665252,-85.2175889,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Hamilton,1228,255,Third,✓,?,✖,?,✖,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,"Evictions Active, but Tenant Removal Paused",?,http://www.hamiltonclerk.com/,https://thirdcircuitfl.org/,hamilton,?,?,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recXuGUdsjp5BnWtl,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Hamilton County, Florida",30.5232289,-82.9763531,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Polk,78539,20305,Tenth,✓,?,✖,?,✓,?,?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,"Evictions Active, but Tenant Removal Paused",?,http://www.polkcountyclerk.net/,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,polk,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs.
AOSC20-17 suspends “the requirement in Florida Rule of Civil Procedure 1.580(a) for the clerk to issue a writ of possession “forthwith”. Each Sheriff of the Tenth Judicial Circuit is authorized to stay execution of writs of possession and orders directing removal of tenants through eviction proceedings that were issued by the Court prior to entry of AOSC20-17.
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recEeADOwrKXe0gEa,Tenth,✖,?,✓,✓,✓,✓,✓,http://www.polkcountyclerk.net/covid-19/#4,NA,NA,2020-05-21T02:35:16.000Z,"Polk County, Florida",27.9448537,-81.7268789,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Hillsborough,223410,60755,Thirteenth,✓,?,✖,?,✖,?,✖,✖,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,Evictions Suspended,✓,https://www.hillsclerk.com/,https://www.fljud13.org/,hillsborough,?,?,"<https://teamhcso.com/Section/88adfe5c-b5c0-461b-a731-476e8a46d186/Civil-Process>
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec6oE8VEdBhwJSiQ,Thirteenth,✓,✓,✖,✖,✖,✖,✓,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,NA,NA,2020-05-21T02:34:53.000Z,"Hillsborough County, Florida",27.9184543,-82.3488057,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,3,3,-3,3,0
Suwannee,4325,898,Third,✓,✓,✖,✓,✓,✓,✓,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,"Evictions Active, but Tenant Removal Paused",✓,http://www.suwgov.org/,https://thirdcircuitfl.org/,suwannee,?,?,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recQsxmZpGwbf2YxZ,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Suwannee County, Florida",30.2101192,-82.9873377,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
St. Johns,23957,6508,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://stjohnsclerk.com/,http://www.circuit7.org/,st-johns,?,?,"
",TRUE,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,recMQH7qEBs4xVOA2,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"St. Johns County, Florida",29.9032284,-81.4145468,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Dixie,1095,244,Third,✓,✖,✖,✖,✓,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Evictions Suspended,✖,https://dixieclerk.com/,https://thirdcircuitfl.org/,dixie,?,?,"
",TRUE,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,recGJaEXzeQLpUmVP,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Dixie County, Florida",29.6214008,-83.17351,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,3,-3,-3,3,3,0
Washington,1975,496,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://www.washingtonclerk.com/,https://www.jud14.flcourts.org/,washington,?,✖,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recz926FvCH7Sr5Ba,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Washington County, Florida",30.6009343,-85.6762025,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Wakulla,2226,501,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,"Evictions Active, but Tenant Removal Paused",?,http://www.wakullaclerk.com/,http://2ndcircuit.leoncountyfl.gov/,wakulla,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency. dispatch person, was informed they were “not doing anymore” and “since 03/30/2020” her words.  However, she was not in the Civil Process Division and then forwarded me to the Civil Process Division.  I left a message with my question and asked them to return my call as soon as they can.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,rec2Y4zNPVKnInpue,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Wakulla County, Florida",30.1480038,-84.3543512,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Franklin,1104,248,Second,✓,✓,✖,?,✖,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,"Evictions Active, but Tenant Removal Paused",?,https://www.franklinclerk.com/,http://2ndcircuit.leoncountyfl.gov/,franklin,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency.  Deputy Brian Hardy (he spoke with Michele Maxwell, Deputy Clerk), and I also spoke with Mona, Deputy Clerk.  All said that FCSO not serving Writs of Possession and on initial call, Mona said that they received the Order on 3/27/2020.  However, Deputy Hardy called me back and said that they received the Admin Order 2020-04 on 03/20/2020 and weren’t serving Writs of Possession, nor Evictions. 
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recWBCCKO5lFQIoeo,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Franklin County, Florida",29.8323143,-84.8239118,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Pinellas,147098,40942,Sixth,✓,✓,✖,✓,?,✓,✓,?,https://www.mypinellasclerk.org/Coronavirus,"Evictions Active, but Tenant Removal Paused",✖,https://www.mypinellasclerk.org/Coronavirus,http://www.jud6.org/,pinellas,✓,✖,"Update from Gulfcoast legal on Apr 22: cases are still being filed, summonses are being issued and clerk defaults are being granted when requested.  Since April 3, 2020, (the day after the Governor’s Executive Order) we have not yet seen an order from a judge awarding final judgment to a landlord or ordering the clerk to issue the writ of possession.
<https://www.tampabay.com/news/health/2020/03/25/facing-shelter-in-place-order-why-hasnt-pinellas-suspended-evictions/>
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,reckLOZb5Mr6kveyt,Sixth,✓,✓,✓,✖,✓,✓,✓,https://www.mypinellasclerk.org/Coronavirus,NA,NA,2020-05-21T02:35:16.000Z,"Pinellas County, Florida",27.8778904,-82.7329309,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Columbia,7012,1563,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,"Evictions Active, but Tenant Removal Paused",?,https://www.columbiaclerk.com/,https://thirdcircuitfl.org/,columbia,?,?,"TRLS confirmed sheriff not serving writs as of 3/26
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recV1g0VjPMvV8zDN,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Columbia County, Florida",30.1935988,-82.6327488,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Escambia,44215,10916,First,✓,✓,✖,?,✓,?,?,✖,http://www.northescambia.com/2020/03/escambia-sheriffs-office-suspends-some-functions-due-to-covid-19,"Evictions Active, but Tenant Removal Paused",?,https://www.escambiaclerk.com/,https://www.firstjudicialcircuit.org/,escambia,?,?,"
",TRUE,2020-05-22T19:16:53.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recadi0BWfZGDAqHJ,First,(✓),✖,✓,✓,✓,✓,✓,https://www.firstjudicialcircuit.org/sites/default/files/document_library/ESAD%202020-03%20ESCAMBIA%20COUNTY%20MISSION%20CRITICAL%20COURT%20PROCEEDINGS.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Escambia County, Florida",30.6625885,-87.3451089,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Sarasota,48900,13016,Twelfth,✓,✓,✖,✖,?,?,?,?,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,Evictions Suspended,✖,https://www.sarasotaclerk.com/,https://www.jud12.flcourts.org/News/COVID-19,sarasota,?,✖,"
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,NA,NA,2020-03-22T20:00:09.000Z,rechugt70QpgPDlKu,Twelfth,✖,✖,✖,✖,✓,✓,✖,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,NA,NA,2020-05-21T02:35:16.000Z,"Sarasota County, Florida",27.1813609,-82.3609195,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,-0.5,-3,-3,-3,3,-3,0
Volusia,64336,18057,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://www.clerk.org/,http://www.circuit7.org/,volusia,?,?,"
",TRUE,2020-06-05T15:39:30.000Z,2020-06-01,NA,NA,2020-03-22T20:00:09.000Z,recyhNaiZ0kGT8bEr,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Volusia County, Florida",29.0533409,-81.1310761,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Gilchrist,1029,229,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Evictions Suspended,✖,https://www.gilchristclerk.com/,https://circuit8.org/covid-19/,gilchrist,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,Residential and commercial  evictions for non-payment are suspended,NA,2020-03-22T20:00:09.000Z,recC6NT7e5cxxRNBE,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Gilchrist County, Florida",29.7131619,-82.7975172,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Okeechobee,3931,937,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,"Evictions Active, but Tenant Removal Paused",?,http://www.clerk.co.okeechobee.fl.us/,http://www.circuit19.org/covid19,okeechobee,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recT5xxEmRVhf7feX,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Okeechobee County, Florida",27.3923408,-80.8873655,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
