x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,brief_summary_of_what_order_does,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,state_field
80,HAWAII (HI) SUMMARY,Civil Cases & Eviction Enforcement Suspended,"The governor has issued an order suspending laws that allow for terminating tenancies and filing/prosecuting eviction actions for nonpayment of rent. The Hawaii Department of Public Safety Sheriff Division is suspending all eviction activities. Hawaii's Chief Justice issued an order presumptively suspending all civil hearings, including landlord-tenant matters, until after April 30. Most circuits have issued orders postponing all civil matters or in-person conferences ""[e]xcept for civil proceedings deemed urgent by the presiding judge."" The governor's office and the Public Utilities Commission are working with utility companies. Honolulu's Board of Water Supply will not shut off water service. And several utilities companies have announced that they will not shut off service due to nonpayment.",Court/Governor,Y,,,,5/31/20 (governor),,Y,Y,Y,N,N,N,N,N/A,N,,N,Y,Y,Y,N,Y,N,N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAWAII
86,IDAHO (ID) SUMMARY,Evictions Can Resume (Remote),"Idaho had a statewide order directing that eviction cases be continued except for emergencies. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system, and are therefore hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs.",Court,Y,,,,N/A,,Y,Y,N,N,N,Y,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IDAHO
94,ILLINOIS (IL) SUMMARY,Eviction Cases & Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,N,N,N,N/A,Y,allows courts to suspend deadlines/procedures for a period ending no later than 30 days after end of emergency,N,N,N,Local Discretion,N,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILLINOIS
100,INDIANA (IN) SUMMARY,Eviction Cases Suspended,"Governor Eric Holcomb ordered that evictions and foreclosure actions/proceedings may not be brought March 19, 2020 until the executive order declaring a state of emergency in Indiana is halted by the governor. The Supreme Court of Indiana issued clarifying guidance that filings are still being accepted, and urging courts to consider public health, safety, and property values when using their discretion to decide whether to stay non-emergency proceedings. The governor's order also requests that public housing authorities extend deadlines for housing assistance recipients or applicants. Finally, each circuit and superior court in Indiana has issued a slightly different version suspending most civil proceedings although none of these applied explictly to eviction proceedings or foreclosures. The majority of districts suspended all civil hearings from 2 weeks up to 1.5 months while the minority of districts suspended only in person hearings/civil jury trials but allowed for teleconferencing or alternative methods for continuing non-essential business. Indiana has also placed a statewide moratorium on utility shut-offs and individual companies have announced that they will further suspend shutoffs.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,Y,N,N,N/A,Y,5/4,N,Y,N,Local Discretion,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INDIANA
108,IOWA (IA) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Kim Reynolds has issued three orders suspending statutory provisions that allow plaintiffs to bring eviction and foreclosure actions for the duration of the public health proclamation (currently until 5/27/20). The state Supreme Court has directed that forcible entry and detainer proceedings should either be continued to a date after June 15th, or conducted by phone at a local court's discretion. Utilities are not allowed to be shut off under state order until May 13th.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,Y,Y,N,N/A,Y,6/1/2020 (statutes of limitations),N,Y,In Effect Y,Local Discretion,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOWA
116,KANSAS (KS) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"Governor Laura Kelly has declared that eviction and foreclosure proceedings cannot be brought as a result of nonpayment due to financial hardship related to COVID-19; if an eviction is filed, the plaintiff must prove that it's not being brought only because of such financial hardship. Courts in Kansas are conducting only essential functions in person, which do not appear to include evictions and foreclosures; however, the court states that nonessential functions may still move forward to the extent local resources allow.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,until further order,N,Y,Y,N,N,N,N,N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KANSAS
124,KENTUCKY (KY) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the State Supreme Court's order, except for emergency and statutorily required proceedings, evictions are continued and new evictions cannot be filed until 30 days after the expiration of the order. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",Court/Governor,Y,,,,end of emergency,,N,Y,Y,N,N,Y,N,N/A,N,,N,N,Y,Y,N,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KENTUCKY
132,LOUISIANA (LA) SUMMARY,Eviction Cases Suspended,"Governor John Bel Edwards signed an Executive Order that suspends deadlines in all legal proceedings in all courts until at least June 5, 2020. This applies to eviction proceedings. The Louisiana Supreme Court will begin to hear proceedings in person again but will not be hearing evictions.",Court/Governor,Y,,,,6/5/20 (governor),,N,Y,N,N,N,N,N,N/A,Y,5/15/20,N,N,N,Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOUISIANA
143,MAINE (ME) SUMMARY,Eviction Cases & Enforcement Suspended,"Maine's Judicial Branch ordered that effective on March 18, 2020 through May 30, 2020, all evictions and foreclosures are suspended; previously scheduled cases will not be heard and new cases will not be scheduled for a hearing until May 1. Governor Mills issued an order prohibiting writs of restitution from being executed except in cases of imminent risk of harm or criminal activity, and extending the time by which a notice has to be given to terminate a tenancy at will. The state also issued a statewide moratorium on utility shutoffs. No specific courts, cities, or counties are known to have made separate or additional orders to supplement the statewide order. To our knowledge, tolling has not been suspended in the state of Maine.",Court,Y,,,,post-pandemic,,N/A,Y,Y,N,Y,Y,N,Non-payment,N,,N,N,N,Y,N,Y,N,N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAINE
149,MARYLAND (MD) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"Maryland has both gubernatorial and court orders staying evictions; the governor's order states that evictions should not issue if the tenant is subject to financial hardship due to COVID-19, while the State Supreme Court order is broader and stays pending evictions and foreclosure cases without this condition.The state has suspended utility shutoffs. Almost all (but not all) counties have also issued orders to sheriffs directing them not to enforce any eviction orders. Many counties have also stayed commercial evictions, subject to emergency motion arguing the stay presents an undue burden.",Court/Governor,COVID-19 Related,,,,end of emergency,,N,Y,Y,Y,Y,N,N,N/A,Y,"Tolled by number of days courts are closed to public, plus time that Chief Judge will order when emergency is terminated",N,N,N,Y,COVID-19 Hardship,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARYLAND
165,MASSACHUSETTS (MA) SUMMARY,Eviction Cases & Enforcement Suspended,"The Massachusetts legislature passed, and the governor signed, a model COVID-19 eviction moratorium on April 17, 2020. The emergency legislation will be in effect until 45 days after the governor's emergency declaration ends, or for 120 days, whichever is sooner. It freezes all five stages of evictions, applies to commercial, residential real estate and foreclosure. Landlords would be prohibited from terminanting a tenancy and giving tenants a notice to quit. In addition, landlords and mortgagors are prohibited from issuing late fees and reporting to credit agencies where a nonpayment is due to COVID-19 financial hardship. Currently, the State-Level housing court order suspends eviction and/or foreclosure cases, will not accept most filings, and prevents new judgments from being issued until May 4. Deadlines are also tolled until that date.",Court/Legislation,Y,,,,post-emergency,,Y,Y,Y,N,Y,Y,N,N/A,Y,deadlines tolled until June 1 + number of days left until deadline was set to expire as of March 16th,N,Y,Y,Y,Y,Y,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASSACHUSETTS
176,MICHIGAN (MI) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Gretchen Whitmer's order suspends service of process and execution of eviction orders unless the tenant poses a ""risk to another person or an imminent and severe risk to property."" Michigan's courts may still hear existing civil cases remotely. Court deadlines and deadlines to commence civil actions are tolled. Property owners must submit verification that the property is exempt from the federal CARES Act moratorium.",Court/Governor,Y,,,,6/11/20 (governor),,Y,Y,Y,N,N,Y,N,N/A,Y,duration of public health emergency,N,Y,Y,N,In Effect Y,Y,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MICHIGAN
189,MINNESOTA (MN) SUMMARY,Eviction Cases & Enforcement Suspended,"On May 1, the court resumed hearing cases, including evictions, remotely. Emergency evictions can take place in person. March 23, Governor Walz issued Emergency Executive Order 20-14 suspending eviction filings and executions starting March 24 at 5:00 p.m., except for emergency cases. On March 24, the Chief Justice amended the March 20 order to conform to the executive order. The Chief Justice had initially suspended all non-high priority district court proceedings through 3/30, before issuing a more comprehensive case management plan that allowed non-emergency eviction cases to proceed remotely.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,Y,Y,N,N/A,N,,N,In Effect Y,In Effect Y,N,N,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MINNESOTA
197,MISSISSIPPI (MS) SUMMARY,Eviction Enforcement Suspended,"The Governor suspended all residential evictions throughout the duration of the shelter in place order, which expires on 5/25/20. Residences covered by the order include single family homes, hotels, rental units, shelters, mobile home parks, and similar facilities used as an individual's principal dwelling. The State Supreme Court has directed local courts to determine their own court operations, although it has urged them to limit in-person proceedings. Most courts are still operating, and none clearly limit evictions. Hancock and DeSoto Justice Courts order that eviction proceedings continue to take place.",Court,Y,,,,end of emergency,,N,Y,Y,N,N,N/A,N/A,N/A,Local Discretion,,N,N,N,Local Discretion,N,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSISSIPPI
207,MISSOURI (MO) SUMMARY,No Order/Declaration,A statewide order suspends in-person proceedings subject to some exceptions that do not include eviction or foreclosure cases. The Supreme Court issued an operational directive related to reopening the courts to the public.  Several judicial circuits have issued their own orders postponing these cases and directing that they be rescheduled. The mayor of St. Louis has directed the water authority not to shut off water through 5/15; and St. Louis has specifically suspended evictions.,Court,Y,,,,N/A,,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,judges presiding over civil cases may waive non-statutorily imposed court deadlines for good cause shown,N,N,N,In Effect Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSOURI
213,MONTANA (MT) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"Montana Governor Steve Bullock issued an order on March 30th prohibiting landlords from terminating a lease or refusing to renew/ extend the terms of a current lease agreement, at least on a month-to-month basis. This order was extended through April 24th but also significantly limited. The new order provides for a rental assistance program, but limits the eviction protections of the first order to tenants under quarantine, self-quarantine, or experiencing loss of inclome due to COVID-19.The governor's order also prohibits suspension of utilities during the emergency, including electricity, gas, sewage disposal, water, telephone, or internet services, and prohibits late fees for bills due. The Supreme Court of Montana supsended all civil cases.",Court/Governor,Y,,,,end of emergency,,Y,Y,Y,N,Y,Y,N,N/A,N,,N,Y,Y,Local Discretion,Y,Y,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MONTANA
220,NEBRASKA (NE) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"Governor Pete Ricketts has signed Executive Order 20-07, which defers a landlord's ability to proceed to trial in an eviction action if tenant can prove that unpaid rent is related to COVID-19 loss of income or missed work due to school closures. Beyond this narrow deferral of evictions, courts at the District and County levels determine whether to proceed with civil proceedings, including eviction proceedings.",Governor,Y,,,,5/31/2020,,N/A,N/A,Y,N,N,Y,Y,Non-payment related to COVID-19,N,N/A,N,N,N,Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEBRASKA
223,NEVADA (NV) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor signed an Executive Order on 3/29 that halts eviction proceedings for the duration of the state of emergency, except for eviction judgments that predate the March 12th state of emergency declaration. On 3/31, the Supreme Court responded to the Governor's Executive Order by halting the consideration of most eviction matters. The Governor's order also prohibits late fees for nonpayment.",Court/Governor,Y,,,,end of emergency,,N/A,N/A,Y,Y,Y,Y,N,N/A,N,N/A,N,Y,Y,Y,Y,N,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEVADA
226,NEW HAMPSHIRE (NH) SUMMARY,Eviction Cases & Enforcement Suspended,The Governor's office signed an emergency order halting eviction and foreclosure proceedings during the crisis. The order excludes evictions for lease or law violations that result in substantial damage to the property or substantial adverse impact on the health and safety of other persons. It does not apply to abandonement. It preempts any local orders.,Governor,Y,,,,end of emergency,,Y,Y,Y,Y,Y,Y,N,N/A,Y,extended to 5/26 unless in a landlord-tenant case where there is threat of harm,Y,Y,Y,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEW HAMPSHIRE
237,NEW JERSEY (NJ) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Phil Murphy signed an Executive Order on 3/19 that halts removals of residents pursuant to evictions or foreclosure proceedings. The EO does not halt initiation or continuation of eviction and foreclosure proceedings. In addition, the Supreme Court cancelled landlord/tenant calendars until April 26th and suspended evictions. The state senate has passed, and the state assembly is now considering, a bill that would create a temporary rental assistance program. The New Jersey Housing and Mortgage Finance Agency has suspended rent increases at eligible facilities until the governor's order declaring a state of emergency is withdrawn (and after this there must be 30 days notice). The Assembly is also considering a bill that would require forbearance of residential and commercial mortgages, as well as other loans, and tenant rent upon request.",Court/Governor,Y,,,,post-emergency,,Y,Y,Y,Y,Y,N,N,N/A,Y,"Landlord/tenant calendars suspended until April 26, 2020",N,N,N,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEW JERSEY
249,NEW MEXICO (NM) SUMMARY,Nonpayment Eviction Enforcement Suspended,"The New Mexico Supreme Court has stayed the execution of writs of restitution for nonpayment of rent under NMSA 1978, Section 47-8-46 (A) if the resident has demonstrated by a preponderance of the evidence a current inability to pay rent. The New Mexico Supreme Court has also stayed the execution of writs of restitution for mobile homes. Two major cities in New Mexico have taken action: (1) Santa Fe: The mayor has placed a moratorium on evictions for non-payment of rent for tenants who can't afford to pay because of the pandemic. Water shut-offs are also banned. Collection of lodger’s taxes has been delayed, and all public buses are free; (2) Albuquerque: All evictions from city-owned properties are suspended.",Court,Y,,,,Open,,Y,Y,Y,N,Y,N,Y,Non-payment,N,N/A,N,N,N,N,Y,In Effect Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEW MEXICO
255,NEW YORK (NY) SUMMARY,Eviction Cases & Enforcement Suspended,"The Chief Administrative Judge of the State of New York Unified Court System's 3/15/20 memorandum states that  ""all eviction proceedings and pending eviction orders shall be suspended statewide until further notice."" The Chief Administrative Judge had initially issued a one-week moratorium in New York City on 3/13/20. There will be no evictions of any kind, for anyone, as long as the 3/15/20 moratorium is in place. In NYC, all city marshals have been notified that they cannot execute any pre-existing warrants. Outside of NYC, law enforcement entities should have been notified by the local courts. The Governor's 3/20/20 Executive Order declared an eviction and foreclosure morotorium for 90 days. On 5/7/20, the Governor issued an Executive Order that allows tenants to use their security deposit to pay past rent, prohibits late fees, prohibits eviction for nonpayment due to COVID-19 hardship for a period of 60 days beginning on June 20, and suspends sections of the Real Property Law to provide that no landlord, lessor, sub-lessor or grantor shall demand or be entitled to any payment, fee or charge for late payment of rent occurring during the time period from March 20, 2020, through August 20, 2020.",Court/Governor,Y,,,,8/20/20 (governor),,N,Y,Y,Y,Y,N,Y,Non-payment,Y,,Y,Y,Y,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEW YORK
266,NORTH CAROLINA (NC) SUMMARY,Eviction Cases Suspended,"The Supreme Court of North Carolina postponed ejectment and foreclosure actions, but does not explicitly stop eviction orders that were already approved.",Court,Y,,,,6/1/20,,Y,Y,Y,N,Y,N,N,N/A,Y,6/1/20,N,N,N,Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTH CAROLINA
276,NORTH DAKOTA (ND) SUMMARY,Evictions Can Resume (Remote),"On April 24, the North Dakota Supreme Court amended its suspended all residential eviction proceedings to allow evictions to resume remotely. County sheriffs in Clay, Cass, Grand Forks, and Burleigh counties all had stopped enforcing evictions. Cass County, Burleigh County, and Grand Forks County are home to the state's three largest cities, respectively Fargo, Bismarck, and Grand Forks.",Court,Y,,,,N/A,4/24/20,N,Y,Y,N,N,N,N,N/A,Y,deadline to hold hearing in eviction case extended from 15 to 45 days,N,N,N,N,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTH DAKOTA
