county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,note,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,legal_aid,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Duval,151180,41741,Fourth,✓,✖,✖,?,?,✓,✓,✖,http://www2.duvalclerk.com/about/office-status/#contentTop,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,http://www2.duvalclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,duval,?,?,"Rent drop box. Judge can authorize execution of writ with good cause + extraordinary circumstances
",NA,2020-06-24T15:37:01.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recV5vnqEeaFlrydD,Fourth,✓,✓,✓,(✓),✓,✓,✓,http://www2.duvalclerk.com/about/office-status/#contentTop,NA,NA,2020-05-21T02:35:16.000Z,"Duval County, Florida",30.3540073,-81.6632109,8,2,0,0,NA,0,0,1,-1,2,-5,-2,3,0,-0.5,3,3,-3,-3,3,0
Indian River,17586,5302,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.clerk.indian-river.org/en/,http://www.circuit19.org/covid19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,indian-river,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec5OAbV2M0BjHlb7,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Indian River County, Florida",27.7041555,-80.5894422,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Marion,35052,9086,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.marioncountyclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,marion,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recvzvrVfLx9W9b0g,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Marion County, Florida",29.2182454,-82.0626948,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gulf,1454,327,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://gulfclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,gulf,?,✖,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recGArJ489D8WZH0y,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Gulf County, Florida",29.9665252,-85.2175889,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Hamilton,1228,255,Third,✓,?,✖,?,✖,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.hamiltonclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hamilton,?,?,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recXuGUdsjp5BnWtl,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Hamilton County, Florida",30.5232289,-82.9763531,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Polk,78539,20305,Tenth,✓,?,✖,?,✓,?,?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.polkcountyclerk.net/,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,polk,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs.
AOSC20-17 suspends “the requirement in Florida Rule of Civil Procedure 1.580(a) for the clerk to issue a writ of possession “forthwith”. Each Sheriff of the Tenth Judicial Circuit is authorized to stay execution of writs of possession and orders directing removal of tenants through eviction proceedings that were issued by the Court prior to entry of AOSC20-17.
",NA,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recEeADOwrKXe0gEa,Tenth,✖,?,✓,✓,✓,✓,✓,http://www.polkcountyclerk.net/covid-19/#4,NA,NA,2020-05-21T02:35:16.000Z,"Polk County, Florida",27.9448537,-81.7268789,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Hillsborough,223410,60755,Thirteenth,✓,?,✖,?,✖,?,✖,✖,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✓,https://www.hillsclerk.com/,https://www.fljud13.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hillsborough,?,?,"<https://teamhcso.com/Section/88adfe5c-b5c0-461b-a731-476e8a46d186/Civil-Process>
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec6oE8VEdBhwJSiQ,Thirteenth,✓,✓,✖,✖,✖,✖,✓,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,NA,NA,2020-05-21T02:34:53.000Z,"Hillsborough County, Florida",27.9184543,-82.3488057,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,3,3,-3,3,0
Suwannee,4325,898,Third,✓,✓,✖,✓,✓,✓,✓,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✓,http://www.suwgov.org/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,suwannee,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recQsxmZpGwbf2YxZ,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Suwannee County, Florida",30.2101192,-82.9873377,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
St. Johns,23957,6508,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://stjohnsclerk.com/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,st-johns,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recMQH7qEBs4xVOA2,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"St. Johns County, Florida",29.9032284,-81.4145468,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Dixie,1095,244,Third,✓,✖,✖,✖,✓,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://dixieclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,dixie,?,?,"
",TRUE,2020-06-24T15:37:01.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recGJaEXzeQLpUmVP,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Dixie County, Florida",29.6214008,-83.17351,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,3,-3,-3,3,3,0
Washington,1975,496,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.washingtonclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,washington,?,✖,"
",TRUE,2020-06-24T15:38:23.000Z,NA,NA,2020-03-22T20:00:09.000Z,recz926FvCH7Sr5Ba,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Washington County, Florida",30.6009343,-85.6762025,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Wakulla,2226,501,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.wakullaclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,wakulla,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency. dispatch person, was informed they were “not doing anymore” and “since 03/30/2020” her words.  However, she was not in the Civil Process Division and then forwarded me to the Civil Process Division.  I left a message with my question and asked them to return my call as soon as they can.
",TRUE,2020-06-24T15:38:23.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec2Y4zNPVKnInpue,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Wakulla County, Florida",30.1480038,-84.3543512,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Franklin,1104,248,Second,✓,✓,✖,?,✖,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.franklinclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,franklin,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency.  Deputy Brian Hardy (he spoke with Michele Maxwell, Deputy Clerk), and I also spoke with Mona, Deputy Clerk.  All said that FCSO not serving Writs of Possession and on initial call, Mona said that they received the Order on 3/27/2020.  However, Deputy Hardy called me back and said that they received the Admin Order 2020-04 on 03/20/2020 and weren’t serving Writs of Possession, nor Evictions. 
",TRUE,2020-06-24T15:37:01.000Z,NA,NA,2020-03-22T20:00:09.000Z,recWBCCKO5lFQIoeo,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Franklin County, Florida",29.8323143,-84.8239118,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Pinellas,147098,40942,Sixth,✓,✓,✖,✓,?,✓,✓,?,https://www.mypinellasclerk.org/Coronavirus,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.mypinellasclerk.org/Coronavirus,http://www.jud6.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,pinellas,✓,✖,"Update from Gulfcoast legal on Apr 22: cases are still being filed, summonses are being issued and clerk defaults are being granted when requested.  Since April 3, 2020, (the day after the Governor’s Executive Order) we have not yet seen an order from a judge awarding final judgment to a landlord or ordering the clerk to issue the writ of possession.
<https://www.tampabay.com/news/health/2020/03/25/facing-shelter-in-place-order-why-hasnt-pinellas-suspended-evictions/>
",TRUE,2020-06-24T15:37:39.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,reckLOZb5Mr6kveyt,Sixth,✓,✓,✓,✖,✓,✓,✓,https://www.mypinellasclerk.org/Coronavirus,NA,NA,2020-05-21T02:35:16.000Z,"Pinellas County, Florida",27.8778904,-82.7329309,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Columbia,7012,1563,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.columbiaclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,columbia,?,?,"TRLS confirmed sheriff not serving writs as of 3/26
",TRUE,2020-06-24T15:37:01.000Z,NA,NA,2020-03-22T20:00:09.000Z,recV1g0VjPMvV8zDN,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Columbia County, Florida",30.1935988,-82.6327488,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Escambia,44215,10916,First,✓,✓,✖,?,✓,?,?,✖,http://www.northescambia.com/2020/03/escambia-sheriffs-office-suspends-some-functions-due-to-covid-19,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.escambiaclerk.com/,https://www.firstjudicialcircuit.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,escambia,?,?,"
",TRUE,2020-06-24T15:37:01.000Z,NA,NA,2020-03-22T20:00:09.000Z,recadi0BWfZGDAqHJ,First,(✓),✖,✓,✓,✓,✓,✓,https://www.firstjudicialcircuit.org/sites/default/files/document_library/ESAD%202020-03%20ESCAMBIA%20COUNTY%20MISSION%20CRITICAL%20COURT%20PROCEEDINGS.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Escambia County, Florida",30.6625885,-87.3451089,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
