x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,expired_replaced,prohibits_law_enforcement_from_executing_new_and_past_orders_of_eviction,status_of_non_emergency_civil_court_proceedings,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,order_declaration_discusses_effect_of_housing_on_public_health,order_declaration_discusses_economic_consequences_on_housing,model_order,brief_summary_of_what_order_does,moratorium_extended_past_emergency_declaration,free_utility_reconnection,no_utility_disconnection,no_reporting_to_credit_bureau,grace_period_to_pay_rent,length_of_time_for_grace_period,no_late_fees,length_of_time_for_no_late_fees,legal_counsel_for_tenants,no_rent_raises,length_of_time_for_no_rent_raises,foreclosure_moratorium,length_of_time_for_foreclosure_moratorium,housing_stabilization,length_of_time_for_housing_stabilization_mm_dd_yyyy,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,x,x_2,na_10,na_11,na_12,na_13,na_14,na_15,na_16,na_17,na_18,state_field
128,HAWAII (HI) CURRENTSUMMARY,Civil Cases & Eviction Enforcement Suspended,"The governor has issued an order suspending laws that allow for terminating tenancies and filing/prosecuting eviction actions for nonpayment of rent. The Hawaii Department of Public Safety Sheriff Division is suspending all eviction activities. Hawaii's Chief Justice issued an order presumptively suspending all civil hearings, including landlord-tenant matters, until after April 30. Most circuits have issued orders postponing all civil matters or in-person conferences ""[e]xcept for civil proceedings deemed urgent by the presiding judge."" The governor's office and the Public Utilities Commission are working with utility companies. Honolulu's Board of Water Supply will not shut off water service. And several utilities companies have announced that they will not shut off service due to nonpayment.",Court/Governor,Y,,,,6/30/20 (governor),,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,Y,Y,Y,N,Y,N,N,N,N,N,,,,,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAWAII
141,IDAHO (ID) CURRENTSUMMARY,Evictions Can Resume (Remote),"Idaho had a statewide order directing that eviction cases be continued except for emergencies. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system and are hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs.",Court,Y,,,,5/1/20,,N,N,N/A,Y,Y,N,N,N,Y,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,IDAHO
153,ILLINOIS (IL) CURRENT SUMMARY,Eviction Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" This order has been extended through 7/26. The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines. The State Supreme Court has ruled that plaintiffs in all residential actions must file an affidavit certifying that the property at issue is not covered under the CARES Act. The state has funded a rental and mortgage assistance program for residents struggling to make payments as a result of COVID-19. Additional funding has also been provided to the state's low income energy assistance program (LIHEAP). A moratorium on utility disconnections is in place until 8/1.",Court/Governor,Y,,,,07/26/20,,N,Y,Local Discretion,Y,Y,Y,N,N,N,N,N/A,Y,allows courts to suspend deadlines/procedures for a period ending no later than 30 days after end of emergency,N,N,N,Local Discretion,N,Y,N,Y,N,N,N,,,Y,Y,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILLINOIS
174,INDIANA (IN) CURRENT SUMMARY,Eviction Cases Suspended,"In May, the Governor issued an executive order lifting the prohibition against emergency eviction and foreclosure actions as of May 22, and all evictions as of July 1. The Supreme Court of Indiana issued clarifying guidance in March that filings are still being accepted, and urging courts to consider public health, safety, and property values when using their discretion to decide whether to stay non-emergency proceedings. On 7/13, households can begin applying for the state's rental assistance program, which provides up to $500 payments for four months. Indiana has also placed a statewide moratorium on utility shut-offs and individual companies have announced that they will further suspend shutoffs. On 6/31, the Governor issued an executive order that extended the moratorium of evictions and foreclosures for non-payment until July 31. Notwithstanding the moratorium, a landlord may institute an emergency eviction or possessory claim where there is specific immediate and serious injury, or loss or damage to the property. Moreover, a lending institution is no longer prohibited from instituting a foreclosure action where the property is vacant or abandoned, or where there is a specific immediate and serious injury, or there is loss or damage to the property.",Court/Governor,Y,,,,7/31/2020,,N,N,Local Discretion,Y,Y,Y,N,Y,N,N,N/A,Y,Local discretion up to 8/14/20,N,In Effect Y,In Effect Y,Local Discretion,N,N,N,N,Y,Y,N,,,,,,,,,,,,,Y,07/01/20,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,INDIANA
189,IOWA (IA) CURRENT SUMMARY,Evictions Can Resume (Remote),"Governor Kim Reynolds issued three orders suspending statutory provisions that allow plaintiffs to bring eviction and foreclosure actions for the duration of the public health proclamation; these orders expired on May 27th. The state Supreme Court has directed that forcible entry and detainer proceedings should either be continued to a date after June 15th, or conducted by phone at a local court's discretion. Utilities are not allowed to be shut off under state order until May 13th. On May 29, the state announced a statewide rent and mortgage relief program.",Court/Governor,Y,,,,05/27/20,05/27/20,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,Y,6/1/2020 (statutes of limitations),N,Y,In Effect Y,Local Discretion,N,N,N,Y,N,N,,,,,,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOWA
206,KANSAS (KS) CURRENT SUMMARY,Eviction Cases Can Resume (Remote),"Courts in Kansas are completing only essential functions in person, which do not appear to include evictions and foreclosures. As of 05/01, deadlines for judicial proceedings were suspended, but judges may issue orders in individual cases, including eviction cases, setting deadlines for cases to move forward. Before its expiration on May 31, Governor Kelly's executive order declared that eviction and foreclosure proceedings could not be brought as a result of nonpayment due to financial hardship related to COVID-19.",Court/Governor,Y,,,,05/31/2020,,N,N,Local Discretion,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,until further order,N,Y,Y,N,N,N,N,N,Y,Y,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,KANSAS
217,KENTUCKY (KY) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the State Supreme Court's order, except for emergency and statutorily required proceedings, evictions are continued and new evictions cannot be filed until 30 days after the expiration of the order. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",Court/Governor,Y,,,,end of emergency,,N,Y,Local Discretion,Y,Y,Y,N,N,Y,Y,Non-payment,N,,N,N,Y,Y,N,Y,N,Y,Y,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,KENTUCKY
228,LOUISIANA (LA) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"The Governor's Executive Order suspends deadlines in all legal proceedings in all courts until June 15, 2020.",Court/Governor,Y,,,,6/15/20 (governor),6/15/20,N,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOUISIANA
247,MAINE (ME) CURRENTSUMMARY,Eviction Cases & Enforcement Suspended,"Maine's Judicial Branch ordered from March 18, 2020 through May 30, 2020, all evictions and foreclosures are suspended; the Supreme Court has also ordered that previously scheduled cases will not be heard and new cases will not be scheduled for a hearing until August 3, 2020 at the earliest as part of the Judicial Branch's phased reopening plan. Governor Mills issued an order prohibiting writs of restitution from being executed except in cases of imminent risk of harm or criminal activity, and extending the time by which a notice has to be given to terminate a tenancy at will. The state has also issued a statewide moratorium on utility shutoffs.",Court,Y,,,,8/3/20,,N,Y,Local Discretion,Y,Y,Y,N,Y,Y,N,Non-payment,N,,N,N,N,Y,N,Y,N,N,N,Y,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAINE
255,MARYLAND (MD) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"The governor passed an eviction moratorium stating that evictions should not issue if the tenant is subject to financial hardship due to COVID-19. This order lasts the duration of the state of emergency. The State Supreme Court rescinded its moratorium on residential evictions and foreclosures, and courts will begin hearing these matters 7/25. The court also announced that all parties seeking forclosures, as well as new and pending evictions, must file a Declaration of Compliance with the CARES Act. On 6/26, the Governor announced a rental assistance program with funding both for assisted housing relief, and for eviction rental support to local goverments.",Court/Governor,COVID-19 Related,,,,7/25/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,Y,Y,N,N,N/A,Y,07/20/20,N,N,N,Y,COVID-19 Related,N,N,Y,Y,Y,N,,,,Y,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARYLAND
282,MASSACHUSETTS (MA) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Massachusetts legislature passed, and the governor signed, a model COVID-19 eviction moratorium on April 17, 2020. The emergency legislation will be in effect until 45 days after the governor's emergency declaration ends, or for 120 days, whichever is sooner. It freezes all five stages of evictions, applies to commercial, residential real estate and foreclosure. Landlords would be prohibited from terminanting a tenancy and giving tenants a notice to quit. In addition, landlords and mortgagors are prohibited from issuing late fees and reporting to credit agencies where a nonpayment is due to COVID-19 financial hardship. Currently, the State-Level housing court order suspends eviction and/or foreclosure cases, will not accept most filings, and prevents new judgments from being issued until May 4. Deadlines are also tolled until that date.",Court/Legislation,Y,,,,post-emergency,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,Y,deadlines tolled until June 1 + number of days left until deadline was set to expire as of March 16th,N,Y,Y,Y,Y,Y,Y,,N,N,N,,Y,,Y,Y,,,Y,,,Y,"For 120 days from the date of this notice or the duration of the state of emergency, whichever is longer.",,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASSACHUSETTS
306,MICHIGAN (MI) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"On 6/26, the Governor passed EO 2020-134 extending the state's eviction moratorium to 7/15. When the moratorium ends on 7/16, the Eviction Diversion Program launches, awarding payments to landlords who agree not to evict tenants for housing debt accrued during COVID-19. Landlords must agree to waive late fees, and forgive up to 10% of the amount due. Households up to 100% of the state's median income are eligible for the program. Michigan's courts may still hear existing civil cases remotely or in-person if they have complied with the phased reopening plan created by the State Court Administrative Office. Court deadlines and deadlines to commence civil actions are tolled until 7/31. Property owners must submit verification that the property is exempt from the federal CARES Act moratorium.",Court/Governor,Y,,,,7/15/20,Eviction moratorium ends 7/15; Eviction Diversion Program begins 7/16,N,Y,Local Discretion,Y,Y,Y,N,Y,N,N,N/A,Y,44043,N,Y,N,N,In Effect Y,Y,N,Y,Y,Y,N,,,,,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MICHIGAN
335,MINNESOTA (MN) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"On March 23, Governor Walz issued Emergency Executive Order 20-14 suspending eviction filings and executions beginning March 24 at 5:00 p.m., except for emergency endangerment cases, and through the duration of the state of emergency. The order also prohibits foreclosure filings where there is COVID-19 financial hardship.  On March 24, the Chief Justice amended the March 20 order to conform to the executive order. The Chief Justice initially suspended all non-high priority district court proceedings through 3/30. On May 1, the court resumed hearing cases, including evictions, remotely.",Court/Governor,Y,,,,end of emergency,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,N,,N,N,Y,N,N,Y,N,,Y,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MINNESOTA
349,MISSISSIPPI (MS) CURRENTSUMMARY,Eviction Cases can Resume (Remote or In-Person),"The State Supreme Court has directed local courts to determine their own court operations, although it has urged them to limit in-person proceedings. Most courts are still operating, and none clearly limit evictions. Hancock and DeSoto Justice Courts order that eviction proceedings continue to take place. Before its expiration on May 31, the Governor's executive order suspended all residential evictions, including single family homes, hotels, rental units, shelters, mobile home parks, and similar facilities used as an individual's principal dwelling.",Court,Y,,,,6/1/20,06/01/20,N,Y,Local Discretion,N,Y,Y,N,N,N/A,N/A,N/A,Local Discretion,,N,N,N,Local Discretion,N,Y,N,N,N,N,N,,,,Y,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSISSIPPI
365,MISSOURI (MO) CURRENT SUMMARY,Local Discretion,"The Supreme Court has issued an operational directive related to reopening the courts to the public. A statewide order had suspended all in-person proceedings, but allowed eviction and foreclosure cases to proceed remotely.  Several judicial circuits have issued their own orders postponing eviction cases and directing that they be rescheduled. The mayor of St. Louis has directed the water authority not to shut off water through 5/15; and the City of St. Louis has suspended evictions.",Court,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,judges presiding over civil cases may waive non-statutorily imposed court deadlines for good cause shown,N,N,N,In Effect Y,N,N,N,,N,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSOURI
