geo,lat,long
"Redondo Beach, CALIFORNIA",33.8455911,-118.3886766
RHODE ISLAND,41.7962409,-71.5992372
"Richmond, VIRGINIA",37.5385087,-77.43428
"Richmond, CALIFORNIA",37.9357576,-122.3477486
"Rio Arriba County, NEW MEXICO",36.5488273,-106.8155233
"Riverside, CALIFORNIA",33.9533546,-117.3961623
"Rosemead, CALIFORNIA",34.0676169,-118.0879763
"Sacramento, CALIFORNIA",38.5815719,-121.4943996
"Sacramento County, CALIFORNIA",38.4732259,-121.2980707
"Salinas, CALIFORNIA",36.6744117,-121.6550372
"San Antonio, TEXAS",29.4246002,-98.4951405
"San Bernardino, CALIFORNIA",34.8253019,-116.0833144
"San Bernardino, CALIFORNIA",34.8253019,-116.0833144
"San Bernardino, CALIFORNIA",34.8253019,-116.0833144
"San Bernardino, CALIFORNIA",34.8253019,-116.0833144
"San Bruno, CALIFORNIA",37.6304904,-122.4110835
"San Buenaventura, CALIFORNIA",34.2783355,-119.2931743
"San Diego, CALIFORNIA",32.7174209,-117.1627714
"San Diego County, CALIFORNIA",32.9637838,-116.7706277
"San Francisco, CALIFORNIA",37.7790262,-122.4199061
"San Gabriel, CALIFORNIA",34.0991325,-118.1086041
"San Joaquin, CALIFORNIA",37.9372901,-121.2773719
"San Jose, CALIFORNIA",37.3361905,-121.8905833
"San Leandro, CALIFORNIA",37.7249296,-122.1560768
"San Luis Obispo, CALIFORNIA",35.3540209,-120.3757163
"San Marcos, TEXAS",29.8826436,-97.9405828
"San Mateo County, CALIFORNIA",37.496904,-122.3330573
"San Pablo, CALIFORNIA",37.9621457,-122.3455263
"Santa Ana, CALIFORNIA",33.7494951,-117.8732213
"Santa Barbara, CALIFORNIA",34.4221319,-119.7026673
"Santa Barbara, CALIFORNIA",34.4221319,-119.7026673
"Santa Barbara, CALIFORNIA",34.4221319,-119.7026673
"Santa Barbara, CALIFORNIA",34.4221319,-119.7026673
"Santa Clara, CALIFORNIA",37.2333253,-121.6846349
"Santa Clara, CALIFORNIA",37.2333253,-121.6846349
"Santa Clara, CALIFORNIA",37.2333253,-121.6846349
"Santa Clara, CALIFORNIA",37.2333253,-121.6846349
"Santa Clarita, CALIFORNIA",34.3916641,-118.542586
"Santa Cruz, CALIFORNIA",37.050096,-121.9905908
"Santa Cruz County, CALIFORNIA",37.050096,-121.9905908
"Santa Fe, NEW MEXICO",35.6869996,-105.9377997
"Santa Maria, CALIFORNIA",34.9531295,-120.4358577
"Santa Monica, CALIFORNIA",34.0250724,-118.4965129
"Santee, CALIFORNIA",32.8383828,-116.9739167
"Scotts Valley, CALIFORNIA",37.0510595,-122.0146841
"Seal Beach, CALIFORNIA",33.7423967,-118.1055926
"Seaside, CALIFORNIA",36.62593,-121.8169383456945
"Seattle, WASHINGTON",47.6038321,-122.3300624
"Shasta, CALIFORNIA",40.7965121,-121.9979194
"Shasta County, CALIFORNIA",40.7965121,-121.9979194
"Simi Valley, CALIFORNIA",34.2694474,-118.781482
"Sioux Falls, SOUTH DAKOTA",43.5499749,-96.700327
"Snohomish County, WASHINGTON",48.0074736,-121.7304882
"Solano County, CALIFORNIA",38.2218938,-121.9163555
"Somerville, MASSACHUSETTS",42.3875968,-71.0994968
"Sonoma County, CALIFORNIA",38.5110803,-122.8473388
SOUTH CAROLINA,33.6874388,-80.4363743
"South El Monte, CALIFORNIA",34.0519548,-118.0467339
"South Euclid, OHIO",41.5231076,-81.5184553
"South Gate, CALIFORNIA",33.9463456,-118.200981
"South Lake Tahoe, CALIFORNIA",38.9332411,-119.9843482
"South Pasadena, CALIFORNIA",34.1133062,-118.1478291
"St. Louis, MISSOURI",38.6264178,-90.1998378
"St. Louis County, MISSOURI",38.6398744,-90.51881277501238
"Stanislaus County, CALIFORNIA",37.5500871,-121.0501425
"Stockton, CALIFORNIA",37.9577016,-121.2907796
"Sunnyvale, CALIFORNIA",37.3688301,-122.0363496
"Temple City, CALIFORNIA",34.1082994,-118.0577568
TENNESSEE,35.7730076,-86.2820081
TEXAS,31.8160381,-99.5120986
"Thousand Oaks, CALIFORNIA",34.17142715,-118.91058772974445
"Toledo, OHIO",41.6786754,-83.5127283
"Torrance, CALIFORNIA",33.8358492,-118.3406288
"Travis County, TEXAS",30.2878569,-97.7561392
"Truckee, CALIFORNIA",39.327962,-120.1832533
"Tulare, CALIFORNIA",36.2516475,-118.852583
"Tulsa County, OKLAHOMA",36.1012145,-95.9250506
"Union City, CALIFORNIA",37.5963232,-122.0816297
UTAH,39.422519200000004,-111.7143584
"Vacaville, CALIFORNIA",38.3565773,-121.9877444
"Vallejo, CALIFORNIA",38.1040864,-122.2566367
"Ventura County, CALIFORNIA",34.4458248,-119.0779359
VERMONT,44.5990718,-72.5002608
VIRGIN ISLANDS,18.4024395,-64.5661642
VIRGINIA,37.1232245,-78.4927721
WASHINGTON,38.8949855,-77.0365708
"Washoe County, NEVADA",40.5849048,-119.6131606
"Watsonville, CALIFORNIA",36.9092773,-121.7529071
"Wayne County, MICHIGAN",42.2682408,-83.2844172
"West Hollywood, CALIFORNIA",34.0923014,-118.3692894
"West Lakewood, CALIFORNIA",33.8503463,-118.1171914
"West Sacramento, CALIFORNIA",38.5804609,-121.530234
WEST VIRGINIA,38.4758406,-80.8408415
"Westminister, CALIFORNIA",33.75770375,-118.03744546134122
"Whittier, CALIFORNIA",33.9708782,-118.0308396
WISCONSIN,44.4308975,-89.6884637
"Woodland, CALIFORNIA",38.6786109,-121.7733285
WYOMING,43.1700264,-107.5685348
"Yolo, CALIFORNIA",38.7184542,-121.9059001
"Monterey, CALIFORNIA",36.2231079,-121.3877428
"Ithaca, NEW YORK",NA,NA
"Lancaster, CALIFORNIA",NA,NA
"Madera, CALIFORNIA",NA,NA
"Ontario, CALIFORNIA",NA,NA
"Ventura, CALIFORNIA",NA,NA
NA,NA,NA
NA,NA,NA
"Lancaster, CALIFORNIA",NA,NA
"Los Gatos, CALIFORNIA",NA,NA
"Lynwood, CALIFORNIA",NA,NA
"La Verne, CALIFORNIA",NA,NA
"Madera, CALIFORNIA",NA,NA
"Rancho Cordova, CALIFORNIA",NA,NA
"Rialto, CALIFORNIA",NA,NA
"San Marcos, CALIFORNIA",NA,NA
NA,NA,NA
NA,NA,NA
