municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,has_expired_protections,bool_legist_exist,bool_rent_relief_exist,bool_court_exist
Antioch,California,United States,City,38.0049214,-121.805789,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay within 14 days after rent is due and provide documentation. Tenants will have up to 6 months post-emergency to repay any back rent.,Legistlative Eviction Protection,https://eastcountytoday.net/antioch-city-council-passes-temporary-moratorium-on-evictions-for-residential-and-commercial-tenants/,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,4,3,-5.5,0,-3,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Apple Valley,California,United States,City,34.5008311,-117.1858759,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay within 30 days after rent is due and provide documentation. Tenants will have up to 6 months post-emergency to repay any back rent.,Legistlative Eviction Protection,https://www.applevalley.org/home/showdocument?id=29632,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",13,8,4,3,-5.5,-2,0,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Arcadia,California,United States,City,34.1362075,-118.0401497,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Moratorium on residential and commercial evictions for non-payment of rent due to a verified COVID-19 financial impact. The City Council order also makes price gouging unlawful, discontinues water shut-offs to residents and businesses, suspends penalties for delinquent water and sewer payments, and suspends parking restrictions and fees for parking violations. These community protection provisions will remain in effect for 60 days from the date of adoption.",Legistlative Eviction Protection,https://arcadiacachamber.org/understanding-arcadias-eviction-moratorium/,https://www.arcadiaca.gov/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",21,8,9,3,-5.5,1,0,3,0,1.5,1,USA,3,TRUE,TRUE,FALSE,FALSE
Arcata,California,United States,City,40.866517,-124.08284,TRUE,2020-07-31 07:00:00,2020-07-31 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay prior to date that rent is due, provide documentation within 7 days of when rent was due, and demonstrate that the income decrease was not adequately offset by other financial support. Tenants will have up to 90 days post-emergency to repay any back rent.",Legistlative Eviction Protection,https://www.cityofarcata.org/DocumentCenter/View/9700/1533-Urgency-Extension-of-Ord-No-1532-Restrictions-on-Eviction-of-Tenants-Due-to-COVID-19-PDF,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,4,3,-5.5,-2,-1,0,0,1.5,0,USA,2,TRUE,TRUE,FALSE,FALSE
Arizona,Arizona,United States,State,34.395342,-111.7632755,TRUE,2020-07-22 07:00:00,,,2020-07-22 07:00:00,"Governor Ducey signed Executive Order 2020-14, titled Postponement of Eviction Actions, which permits tenants to delay removal from their residence by the constable or a law enforcement officer beginning March 24, 2020 if the tenant provides the landlord written notice of a qualifying circumstance that exists at the time of the notice.",,https://www.azcourts.gov/Portals/34/20200429EvictionGuidanceFinal.pdf,,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show (1) that they have suffered a substantial loss of income due to COVID-19, (2) that they or a family member have been ordered to stay in quarantine by a medical professional, or (3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court.  Statutory deadlines for courts to hold eviction proceedings are tolled from 3/18-9/30, and that time will not be counted in computing the deadline once the tolling period ends. Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants.",-4.5,0,0,3,0,0,0,0,0,-7.5,0,USA,1,TRUE,TRUE,FALSE,TRUE
Arkansas,Arkansas,United States,State,35.2048883,-92.4479108,TRUE,2020-07-25 07:00:00,,,2020-07-25 07:00:00,"Arkansas has suspended all in-person proceedings, subject to exceptions that don't include eviction, but has urged judges to conduct matters that they can remotely. All new eviction complaints for nonpayment of rent or other fees or charges filed under Arkansas Code Annotated section 18-60-304 or section 18-17-901, or failure-to-vacate charges brought under section 18-16-101, are required to affirmatively plead that the property that is the subject of the eviction dispute is not a covered dwelling under the federal Coronavirus Aid, Relief, and Economic Security Act (CARES Act), Public Law No. 116-136.",,https://opinions.arcourts.gov/ark/supremecourt/en/item/470061/index.do,,Eviction Cases can Resume (Remote or In-Person),"As of May 18, eviction proceedings may proceed in-person or remotely at the discretion of the presiding judge. However, plaintiffs must certify that the property at issue is not covered by the CARES Act moratorium. The Arkansas Public Service Commission will stop all utility disconnections and waive fees for utility reconnection until the end of public health emergency.",-10,0,0,3,0,0,0,0,0,-13,0,USA,1,TRUE,TRUE,FALSE,TRUE
Artesia,California,United States,City,33.8690197,-118.0796195,TRUE,2020-05-31 07:00:00,2020-07-28 07:00:00,2020-05-31 07:00:00,,Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay within 30 days after the date rent is due and provide documentation. Tenants will have up to 6 months post-emergency to repay any back rent. Operates as a defense to any unlawful detainer action filed on or after 3/25/20.,Legistlative Eviction Protection,http://cityofartesia.us/DocumentCenter/View/3665,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11,8,2,3,-5.5,0,-1,0,0,1.5,3,USA,2,TRUE,TRUE,TRUE,FALSE
Athens County,Ohio,United States,County,39.355589,-82.0610404,FALSE,,,,,"Petition for 1. A moratorium on all evictions; 2. A moratorium on utility shutoffs (water, electric and gas); 3. Restoration of the water, electric and gas of clients who have been disconnected in the past 90 days",Rental Relief Policy,https://actionnetwork.org/petitions/halt-evictions-and-utility-shut-offs-in-athens-county?source=facebook&&fbclid=IwAR0X8UdkfxcR5hQIuISeM0ahbcVLnDDXdu-9GzNmSJydITzOCD8xYHIDtys,,Local Discretion,"Ohio does not have a statewide moratorium on evictions. The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20, but the determination of how to restrict access to the court is left to local jurisdictions. Several municipal courts have ordered the suspension of evictions. The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",-9,0,0,2,0,0,0,0,0,-11,0,USA,1,FALSE,FALSE,FALSE,FALSE
Atlanta,Georgia,United States,City,33.7490987,-84.3901849,TRUE,2020-05-15 07:00:00,2020-05-15 07:00:00,2020-05-15 07:00:00,,"Mayor Bottoms issued an Executive Order calling on the Atlanta Housing Authority, Atlanta Beltline Inc., Fulton County / City of Atlanta Land Bank Authority, Invest Atlanta, Partners for Home and the City of Atlanta’s Department of Grants and Community Development to institute a temporary moratorium on residential evictions and filings for a period of sixty (60) days effective immediately.",Legistlative Eviction Protection,https://www.atlantaga.gov/Home/ShowDocument?id=45422,https://atlsurvival.org/housing/,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",-1,8,5,2,2,0,-5,0,0,-13,0,USA,1,TRUE,TRUE,TRUE,FALSE
Austin,Texas,United States,City,30.2711286,-97.7436995,TRUE,2020-08-24 07:00:00,2020-08-24 07:00:00,,,"By order of mayor, landlords cannot issue notices to vacate tenants until July 25, 2020. Through August 24, 2020, tenants must be given 60 days to catch up on late rent before a landlord can proceed with an eviction.",Legistlative Eviction Protection,http://www.austintexas.gov/sites/default/files/files/Eviction%20Order%202020.06.11.pdf,https://www.facebook.com/rentstrikeatx/,Eviction Cases can Resume (Remote or In-Person),"The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act. The Texas Public Utility Commission is offering a program called the COVID-19 Electricity Relief Program which suspend disconnections for residential customers who have been added to the state’sunemployment and low income list due to the effects of COVID-19 until August 31, 2020",2.5,8,5,3,0,0,0,0,0,-13.5,0,USA,1,FALSE,TRUE,FALSE,FALSE
Avalon,California,United States,City,33.34221,-118.3272612,TRUE,2020-05-31 07:00:00,2020-07-28 07:00:00,,2020-05-31 07:00:00,Temporary moratorium on evictions for non-payment of rent by residential tenants impacted by COVID-19.,Legistlative Eviction Protection,https://bit.ly/2KKnIhz,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,TRUE,TRUE,FALSE,TRUE
Azusa,California,United States,City,34.1338751,-117.9056046,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,Eviction moratorium for non-payment of rent for residential and commercial tenants.,Legistlative Eviction Protection,https://azusaca.gov/ArchiveCenter/ViewFile/Item/5128,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,1,-1,0,-1,1.5,0,USA,2,TRUE,TRUE,FALSE,FALSE
