municipality,state,Country,admin_scale,lat,lng,passed,policy_summary,range,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO
New York,New York,United States,State,40.7127281,-74.0060152,TRUE,"The Chief Administrative Judge of the State of New York Unified Court System's 3/15/20 memorandum states that ""all eviction proceedings and pending eviction orders shall be suspended statewide until further notice."" The Chief Administrative Judge had initially issued a one-week moratorium in New York City on 3/13/20. There will be no evictions of any kind, for anyone, as long as the 3/15/20 moratorium is in place. In NYC, all city marshals have been notified that they cannot execute any pre-existing warrants. Outside of NYC, law enforcement entities should have been notified by the local courts. The Governor's 3/20/20 Executive Order declared an eviction and foreclosure morotorium for 90 days. On 5/7/20, the Governor issued an Executive Order that allows tenants to use their security deposit to pay past rent, prohibits late fees, prohibits eviction for nonpayment due to COVID-19 hardship for a period of 60 days beginning on June 20, and prohibits any fee or charge for late payment of rent occurring during the time period from March 20, 2020 through August 20, 2020. Right to Counsel is calling on the Governor to issue a REAL extension of the eviction moratorium for ALL tenants for as long as the crisis lasts. Call Cuomo and your state representatives to demand this TODAY!",2,,https://d3n8a8pro7vhmx.cloudfront.net/righttocounselnyc/pages/200/attachments/original/1589223332/Response_to_Executive_Order_202.28__May_11__2020_.pdf?1589223332,https://d3n8a8pro7vhmx.cloudfront.net/righttocounselnyc/pages/200/attachments/original/1589223332/Response_to_Executive_Order_202.28__May_11__2020_.pdf?1589223332,Eviction Cases & Enforcement Suspended,"The Chief Administrative Judge of the State of New York Unified Court System's 3/15/20 memorandum states that  ""all eviction proceedings and pending eviction orders shall be suspended statewide until further notice."" The Chief Administrative Judge had initially issued a one-week moratorium in New York City on 3/13/20. There will be no evictions of any kind, for anyone, as long as the 3/15/20 moratorium is in place. In NYC, all city marshals have been notified that they cannot execute any pre-existing warrants. Outside of NYC, law enforcement entities should have been notified by the local courts. The Governor's 3/20/20 Executive Order declared an eviction and foreclosure morotorium for 90 days. On 5/7/20, the Governor issued an Executive Order that allows tenants to use their security deposit to pay past rent, prohibits late fees, prohibits eviction for nonpayment due to COVID-19 hardship for a period of 60 days beginning on June 20, and suspends sections of the Real Property Law to provide that no landlord, lessor, sub-lessor or grantor shall demand or be entitled to any payment, fee or charge for late payment of rent occurring during the time period from March 20, 2020, through August 20, 2020.",23,0,2,4,1,-5,0,4,0,16,1,USA
Montana,Montana,United States,State,47.3752671,-109.6387579,TRUE,"On April 22, Governor Bullock extended his directive that protects all tenants in Montana from eviction for nonpayment through at least May 24, 2020. If you are a ""vulnerable"" person, then the Governor's directive may last longer. You are considered a ""vulnerable"" person if you remain sheltered at home and are: over 65, or have a serious underlying health condition (including high blood pressure, chronic lung disease, diabetes, obesity, or asthma), or have an immune system that is compromised, such as by chemotherapy. If you are a ""vulnerable"" person, then the Governor's directive will not expire for you until the earliest of these dates: 30 days after you stop sheltering at home, or the end of the Covid-19 emergency. Previously, on April 13, Governor Bullock issued a new directive authorizing funds for Montana tenants who lack money for rent or security deposits because of COVID-19.",2,Eviction Protection,https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977,,COVID-19 Hardship Eviction Cases Suspended,"Montana Governor Steve Bullock issued an order on March 30th prohibiting landlords from terminating a lease or refusing to renew/ extend the terms of a current lease agreement, at least on a month-to-month basis. This order was extended through April 24th but also significantly limited. The new order provides for a rental assistance program, but limits the eviction protections of the first order to tenants under quarantine, self-quarantine, or experiencing loss of inclome due to COVID-19.The governor's order also prohibits suspension of utilities during the emergency, including electricity, gas, sewage disposal, water, telephone, or internet services, and prohibits late fees for bills due. The Supreme Court of Montana supsended all civil cases.",14,8,2.5,-2.5,0,-5,0,4,0,3,4,USA
Maryland,Maryland,United States,State,39.5162234,-76.9382069,TRUE,"Maryland has both gubernatorial and court orders staying evictions; the governor's order states that evictions should not issue if the tenant is subject to financial hardship due to COVID-19, while the State Supreme Court order is broader and stays pending evictions and foreclosure cases without this condition.The state has suspended utility shutoffs. Almost all (but not all) counties have also issued orders to sheriffs directing them not to enforce any eviction orders. Many counties have also stayed commercial evictions, subject to emergency motion arguing the stay presents an undue burden. The American Civil Liberties Union of Maryland, the Homeless Persons Representation Project and the Public Justice Center, sent a letter to the governor urging him to expand the prohibitions by using more than $153 million in federal funds from the Coronavirus Aid, Relief and Economic Security (CARES) Act.",2,Eviction Protection,,http://www.publicjustice.org/wp-content/uploads/2020/05/Letter_to_Gov_Hogan_Re_Rent_AssistEviction_Moratoria.pdf,COVID-19 Hardship Eviction Cases Suspended,"Maryland has both gubernatorial and court orders staying evictions; the governor's order states that evictions should not issue if the tenant is subject to financial hardship due to COVID-19, while the State Supreme Court order is broader and stays pending evictions and foreclosure cases without this condition.The state has suspended utility shutoffs. Almost all (but not all) counties have also issued orders to sheriffs directing them not to enforce any eviction orders. Many counties have also stayed commercial evictions, subject to emergency motion arguing the stay presents an undue burden.",18.5,8,2.5,4,0,-5,0,2,0,7,0,USA
Maine,Maine,United States,State,45.709097,-68.8590201,TRUE,"Maine's Judicial Branch ordered that effective on March 18, 2020 through May 1, 2020, all evictions and foreclosures are suspended; previously scheduled cases will not be heard and new cases will not be scheduled for a hearing until May 1. Governor Mills issued an order prohibiting writs of restitution from being executed except in cases of imminent risk of harm or criminal activity, and extending the time by which a notice has to be given to terminate a tenancy at will. The state also issued a statewide moratorium on utility shutoffs. No specific courts, cities, or counties are known to have made separate or additional orders to supplement the statewide order. To our knowledge, tolling has not been suspended in the state of Maine.",3,Eviction Protection,https://www.courts.maine.gov/covid19/pmo-sjc-1.pdf,,Eviction Cases & Enforcement Suspended,"Maine's Judicial Branch ordered that effective on March 18, 2020 through May 30, 2020, all evictions and foreclosures are suspended; previously scheduled cases will not be heard and new cases will not be scheduled for a hearing until May 1. Governor Mills issued an order prohibiting writs of restitution from being executed except in cases of imminent risk of harm or criminal activity, and extending the time by which a notice has to be given to terminate a tenancy at will. The state also issued a statewide moratorium on utility shutoffs. No specific courts, cities, or counties are known to have made separate or additional orders to supplement the statewide order. To our knowledge, tolling has not been suspended in the state of Maine.",27.5,10,4,3,-2,0,0,4,-1,8.5,1,USA
Kansas,Kansas,United States,State,38.27312,-98.5821872,TRUE,"Governor Laura Kelly has declared that eviction and foreclosure proceedings cannot be brought as a result of nonpayment due to financial hardship related to COVID-19; if an eviction is filed, the plaintiff must prove that it's not being brought only because of such financial hardship. Courts in Kansas are conducting only essential functions in person, which do not appear to include evictions and foreclosures; however, the court states that nonessential functions may still move forward to the extent local resources allow.",2,Eviction Protection,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-10-Executed.pdf,,COVID-19 Hardship Eviction Cases Suspended,"Governor Laura Kelly has declared that eviction and foreclosure proceedings cannot be brought as a result of nonpayment due to financial hardship related to COVID-19; if an eviction is filed, the plaintiff must prove that it's not being brought only because of such financial hardship. Courts in Kansas are conducting only essential functions in person, which do not appear to include evictions and foreclosures; however, the court states that nonessential functions may still move forward to the extent local resources allow.",19.5,10,2.5,5,0,-5,0,2,0,5,0,USA
Delaware,Delaware,United States,State,38.6920451,-75.4013315,TRUE,Declares eviction actions shall not be brought; tolls deadlines in ongoing eviction actions until at least 31 days after emergency ends; states that writs may not be executed.,3,Eviction Protection,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/04/Fourteenth-Modification-to-State-of-Emergency-04302020.pdf,,Eviction Cases & Enforcement Suspended,"Governor John Carney issued a comprehensive executive order establishing moratoriums for evictions, foreclosures, and utility shutoffs during the duration of the Covid-19 crisis. The order prevents new filings, tolls deadlines in pending cases until 31 days after the emergency ends, and prevents execution of issued judgments, and prohibits landlords from charging late fees. It also prevents new foreclosure actions, tolls deadlines in ongoing foreclosure cases, and prevents sheriff sales and the execution of writs of possession until 31 days after the emergency ends. The Justice of the Peace Court has also ordered that all landlord/tenant cases and ordered/scheduled evictions between March 17 and April 16 be delayed until after May 1, with exceptions for ""landlord-tenant matters involving essential services and/or harm to persons or property.""",36.5,8,7,5,0,-5,0,4,0,13.5,4,USA
Oregon,Oregon,United States,State,43.9792797,-120.737257,TRUE,"Governor Kate Brown has strengthened previous orders. As of April 1, there is a 90-day moratorium on serving evictions to commercial and residential tenants. The order only bars police from enforcing evictions due to nonpayment of rent for a period of ninety days, but evictions for failing a rental inspection, noise complaints or any other thing deemed as a lease violation may still be served. The order makes no space for a longer repayment schedule while numerous banks have publicly given 12-month extensions to their mortgage holders, nor does this order address the need for a Nationwide Rent Freeze or Suspension to keep out of work renters from accruing mass amounts of debt.",2,Eviction Protection,https://www.oregon.gov/gov/Documents/executive_orders/eo_20-13.pdf,,Eviction Cases & Nonpayment Eviction Enforcement Suspended,"The Chief Judge of Oregon postponed all first appearances and trials for evictions, and many county circuit courts postponed all eviction related matters. The Governor of Oregon issued Executive Order No. 20-11, which places a temporary moratorium on execution of residential evictions related to non-payment; and Executive Order No. 20-13, which places a temporary moratorium on landlord terminations of residential rental agreements and non-residential leases. The Governor's order also prohibits charging late fees. Most counties and some cities have also limited the eviction moratorium to non-payment cases, and a few have extended it to no-cause evictions. Under the Chief Judge's order, while hearings and proceedings for civil cases are generally postponed, the cases with statutory or constitutional mandates requiring them to be held during the moratorium period will still continue. All judicial districts have postponed jury trials and are taking measures to limit hearings and proceedings conducted during this time.",14.5,8,7,-2.5,-2,-5,0,4,0,4,1,USA
North Carolina,North Carolina,United States,State,35.6729639,-79.0392919,TRUE,"The Supreme Court of North Carolina postponed ejectment and foreclosure actions, but does not explicitly stop eviction orders that were already approved.",2,,https://www.nccourts.gov/assets/news-uploads/2%20April%202020%20-%207A-39%28b%29%282%29%20Order%20%28Final%29.pdf?UqRJH9wO2z3oEU4GW3Eg9rxRuFvTlixn,,Eviction Cases Suspended,"The Supreme Court of North Carolina postponed ejectment and foreclosure actions, but does not explicitly stop eviction orders that were already approved.",11,0,7,3,0,0,0,2,0,-1,0,USA
Newark,New Jersey,United States,City,40.735657,-74.1723667,TRUE,"Petition for: A moratorium on all causes of eviction. Community members who cannot demonstrate a documented loss of income should not suffer during this time. Not all workers, such as subcontractors, gig economy workers, or undocumented workers, can provide proof of loss of wages. No one deserves to be evicted during a pandemic. Every tenant should receive the same level of protection, without exception. Prohibit late fees for any missed payments during the state of emergency. Prohibit landlords from evicting a tenant for rent accrued during the state of emergency. This ensures that a landlord cannot immediately serve an eviction notice once the state of emergency ends. A rent freeze during the state of emergency. If tenants are unable to make rent during the state of emergency, it is unreasonable to expect tenants to sustain a rent increase. Reasonable accommodation, at the conclusion of the crisis, for tenants to pay back any rent due. This must include the option of rent forgiveness.",2,Eviction Protection,https://www.facebook.com/RasJBaraka/photos/a.319302828206793/1842820932521634/?type=3&theater,,Eviction Cases & Enforcement Suspended,"Governor Phil Murphy signed an Executive Order on 3/19 that halts removals of residents pursuant to evictions or foreclosure proceedings. The EO does not halt initiation or continuation of eviction and foreclosure proceedings. In addition, the Supreme Court cancelled landlord/tenant calendars until April 26th and suspended evictions. The state senate has passed, and the state assembly is now considering, a bill that would create a temporary rental assistance program. The New Jersey Housing and Mortgage Finance Agency has suspended rent increases at eligible facilities until the governor's order declaring a state of emergency is withdrawn (and after this there must be 30 days notice). The Assembly is also considering a bill that would require forbearance of residential and commercial mortgages, as well as other loans, and tenant rent upon request.",20,8,2,5,0,-5,0,2,0,8,0,USA
Nevada,Nevada,United States,State,39.5158825,-116.8537227,TRUE,"On March 29, the governor announced a 90-day emergency moratorium on evictions and foreclosures related to defaulting on payments. The directive applies to both residential and commercial tenants. The only exception is for tenants deemed to endanger the public, be engaged in criminal activity, or cause severe property damage. Note that this exception can NOT be used to evict tenants who have been diagnosed with or exposed to COVID-19. Landlords cannot change the locks or put notices ontheir tenant’s doors or mailboxes to scare them into moving out.",3,Eviction Protection,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-29_-_COVID-19_Declaration_of_Emergency_Directive_008/,Nevada Legal Services,Eviction Cases & Enforcement Suspended,"Governor signed an Executive Order on 3/29 that halts eviction proceedings for the duration of the state of emergency, except for eviction judgments that predate the March 12th state of emergency declaration. On 3/31, the Supreme Court responded to the Governor's Executive Order by halting the consideration of most eviction matters. The Governor's order also prohibits late fees for nonpayment.",28.5,8,2,3,0,0,0,4,-1,11.5,1,USA
California,California,United States,State,36.7014631,-118.7559974,TRUE,"Landlords can file for eviction at any time. But no new eviction cases will go to court until 8/29/2020, and tenants do not have to file a response until then. In pending cases, court dates will not be set until 60 days after the trial is requested. Court dates that were already scheduled will also be postponed for at least 60 days. (Note: This policy does not apply to evictions deemed necessary for public health and safety.)

When cases resume, some California tenants will have a defense in court against evictions for non-payment of rent. This ONLY covers tenants who paid rent in March and can show that the reason they couldn't pay in April was related to the COVID-19 pandemic.",1,Eviction Protection,https://jcc.legistar.com/View.ashx?M=F&ID=8233133&GUID=4CE2DDDF-426E-446C-8879-39B03DE418B3,www.tenantstogether.org,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",7,2,2,-1.5,0,-5,0,2,0,7.5,0,USA
Phoenix,Arizona,United States,City,33.4484367,-112.0741417,TRUE,Phoenix Mayor Kate Gallego has said the city will pause all financial evictions on city-owned housing.,1,Eviction Protection,https://ktar.com/story/3024211/phoenix-mayor-halts-city-owned-evictions-amid-coronavirus-fears/,,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show 1) that they have suffered a substantial loss of income due to COVID-19, 2) that they or a family member have been ordered to stay in quarantine by a medical professional, or 3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court. However, Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants. The state supreme court had tolled all eviction deadlines to 5/1/20.",3.5,8,0,4,0,-5,0,2,0,-5.5,0,USA
Utah,Utah,United States,State,39.4225192,-111.7143584,TRUE,"The Utah Supreme Court activated the Pandemic Response Plan and alloweed local courts to implement their own district pandemic response plans. The Utah Supreme Court ordered district courts to perform all mission-critical functions, which do not seem to include eviction proceedings and allows for remote hearings. The Governor of Utah issued and emergency declaration prohibting enforcement of eviction actions only where the tenant is current on rent payments as of 3/31/20 and has suffered job loss or lost income because of COVID-19. Where tenant's COVID-19 related nonpayment is in question, free mediation is available.",2,,https://drive.google.com/file/d/1DIvfcaMeSeUhfNmzr-3Cwo3DyZQZIO2l/view,,Evictions Can Resume (Remote),"The Utah Supreme Court activated the Pandemic Response Plan and alloweed local courts to implement their own district pandemic response plans. The Utah Supreme Court ordered district courts to perform all mission-critical functions, which do not seem to include eviction proceedings and allows for remote hearings. The Governor of Utah issued and emergency declaration prohibting enforcement of eviction actions only where the tenant is current on rent payments as of 3/31/20 and has suffered job loss or lost income because of COVID-19. Where tenant's COVID-19 related nonpayment is in question, free mediation is available.",10,8,0,2,0,0,0,2,0,-2,0,USA
